"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","UTurb:0","UTurb:1","UTurb:2","active","age","d","dTarget","mass0","nParticle"
-0.18648,0.00058076,-0.042069,301.2,15.75,6.4117,0.82784,0,0,0,1,0.00067656,1e-05,0,5.236e-13,59995
-0.18641,-0.069324,-0.011202,301.43,15.154,0.8649,-3.7075,0,0,0,1,0.00067643,1e-05,0,5.236e-13,47996
-0.18699,-0.030628,-0.067337,301.45,15.191,3.2871,-1.3676,0,0,0,1,0.00067467,1e-05,0,5.236e-13,47996
-0.18632,-0.014367,-0.047577,301.29,15.477,5.6807,-0.99441,0,0,0,1,0.00067358,1e-05,0,5.236e-13,47996
-0.18675,-0.05464,-0.03735,301.45,15.236,2.6243,-3.109,0,0,0,1,0.00067067,1e-05,0,5.236e-13,59995
-0.18643,-0.05398,-0.023714,301.4,15.37,2.3851,-3.9647,0,0,0,1,0.00067015,1e-05,0,5.236e-13,59995
-0.18669,-0.012129,-0.047673,301.32,15.484,5.7633,-0.76158,0,0,0,1,0.00066858,1e-05,0,5.236e-13,59995
-0.1868,-0.034457,-0.024071,301.34,15.755,4.0179,-4.9236,0,0,0,1,0.00065981,1e-05,0,5.236e-13,59995
-0.18664,-0.010469,-0.058661,301.49,15.325,4.6353,-0.21502,0,0,0,1,0.00065876,1e-05,0,5.236e-13,59995
-0.18656,-0.0060085,-0.057579,301.5,15.352,4.7956,0.14021,0,0,0,1,0.00065582,1e-05,0,5.236e-13,47996
-0.18708,-0.0393,-0.054461,301.58,15.201,3.4473,-2.0281,0,0,0,1,0.00065352,1e-05,0,5.236e-13,59995
-0.18654,-0.0065409,-0.026453,301.29,17.029,6.6231,-1.3899,0,0,0,1,0.00065248,1e-05,0,5.236e-13,59995
-0.18479,0.0017574,-0.0092072,301.25,19.773,3.2119,0.61466,0,0,0,1,0.00064973,1e-05,0,5.236e-13,59995
-0.18676,-0.04667,-0.030598,301.53,15.387,3.1932,-3.7702,0,0,0,1,0.00064934,1e-05,0,5.236e-13,59995
-0.18734,-0.058444,-0.0045053,301.56,15.331,0.93536,-4.5527,0,0,0,1,0.00064921,1e-05,0,5.236e-13,59995
-0.18724,-0.051184,-0.035435,301.6,15.282,2.8738,-3.2618,0,0,0,1,0.00064724,1e-05,0,5.236e-13,59995
-0.18665,-0.0041313,-0.067769,301.67,15.186,3.9067,0.12539,0,0,0,1,0.00064345,1e-05,0,5.236e-13,59995
